case,marker_id,element_id,center_r_um,center_height_above_surface_um,vx_m_s,vy_m_s,layer_id
ep_5p0uj_ejecta_8500ms,203,7563,9.600000,1.705000,354.158482,5089.265403,6
ep_5p0uj_ejecta_8500ms,204,7564,10.200000,1.705000,331.511498,4483.602563,6
ep_5p0uj_ejecta_8500ms,205,7565,10.800000,1.705000,306.873339,3919.801620,6
ep_5p0uj_ejecta_8500ms,206,7566,11.400000,1.705000,281.023219,3400.682117,6
ep_5p0uj_ejecta_8500ms,207,7567,12.000000,1.705000,254.674533,2927.743041,6
ep_5p0uj_ejecta_8500ms,208,7568,12.600000,1.705000,228.458177,2501.294611,6
ep_5p0uj_ejecta_8500ms,209,7569,13.200000,1.705000,202.911637,2120.614407,6
ep_5p0uj_ejecta_8500ms,210,7570,13.800000,1.705000,178.473582,1784.117849,6
ep_5p0uj_ejecta_8500ms,211,7571,14.400000,1.705000,155.483442,1489.533719,6
ep_5p0uj_ejecta_8500ms,212,7572,15.000000,1.705000,134.185220,1234.076578,6
ep_5p0uj_ejecta_8500ms,213,7573,15.600000,1.705000,114.734695,1014.609329,6
ep_5p0uj_ejecta_8500ms,214,7574,16.200000,1.705000,97.209093,827.790738,6
ep_5p0uj_ejecta_8500ms,215,7575,16.800000,1.705000,81.618356,670.204353,6
ep_5p0uj_ejecta_8500ms,216,7576,17.400000,1.705000,67.917151,538.466757,6
ep_5p0uj_ejecta_8500ms,217,7577,18.000000,1.705000,56.016935,429.314462,6
ep_5p0uj_ejecta_8500ms,218,7578,0.000000,1.955000,0.000000,14450.000000,7
ep_5p0uj_ejecta_8500ms,219,7579,0.600000,1.955000,58.924236,14394.624232,7
ep_5p0uj_ejecta_8500ms,220,7580,1.200000,1.955000,116.498789,14229.766955,7
ep_5p0uj_ejecta_8500ms,221,7581,1.800000,1.955000,171.425370,13959.189829,7
ep_5p0uj_ejecta_8500ms,222,7582,2.400000,1.955000,222.505744,13589.003455,7
ep_5p0uj_ejecta_8500ms,223,7583,3.000000,1.955000,268.685114,13127.437980,7
ep_5p0uj_ejecta_8500ms,224,7584,3.600000,1.955000,309.088031,12584.539015,7
ep_5p0uj_ejecta_8500ms,225,7585,4.200000,1.955000,343.045151,11971.804553,7
ep_5p0uj_ejecta_8500ms,226,7586,4.800000,1.955000,370.109735,11301.781193,7
ep_5p0uj_ejecta_8500ms,227,7587,5.400000,1.955000,390.063468,10587.639414,7
ep_5p0uj_ejecta_8500ms,228,7588,6.000000,1.955000,402.911799,9842.747845,7
ep_5p0uj_ejecta_8500ms,229,7589,6.600000,1.955000,408.869635,9080.265495,7
ep_5p0uj_ejecta_8500ms,230,7590,7.200000,1.955000,408.338733,8312.768856,7
ep_5p0uj_ejecta_8500ms,231,7591,7.800000,1.955000,401.878536,7551.927862,7
ep_5p0uj_ejecta_8500ms,232,7592,8.400000,1.955000,390.172443,6808.241164,7
ep_5p0uj_ejecta_8500ms,233,7593,9.000000,1.955000,373.991632,6090.837314,7
ep_5p0uj_ejecta_8500ms,234,7594,9.600000,1.955000,354.158482,5407.344491,7
ep_5p0uj_ejecta_8500ms,235,7595,10.200000,1.955000,331.511498,4763.827723,7
ep_5p0uj_ejecta_8500ms,236,7596,10.800000,1.955000,306.873339,4164.789221,7
ep_5p0uj_ejecta_8500ms,237,7597,11.400000,1.955000,281.023219,3613.224749,7
ep_5p0uj_ejecta_8500ms,238,7598,12.000000,1.955000,254.674533,3110.726981,7
ep_5p0uj_ejecta_8500ms,239,7599,12.600000,1.955000,228.458177,2657.625524,7
ep_5p0uj_ejecta_8500ms,240,7600,13.200000,1.955000,202.911637,2253.152808,7
ep_5p0uj_ejecta_8500ms,241,7601,13.800000,1.955000,178.473582,1895.625215,7
ep_5p0uj_ejecta_8500ms,242,7602,14.400000,1.955000,155.483442,1582.629576,7
ep_5p0uj_ejecta_8500ms,243,7603,15.000000,1.955000,134.185220,1311.206365,7
ep_5p0uj_ejecta_8500ms,244,7604,15.600000,1.955000,114.734695,1078.022412,7
ep_5p0uj_ejecta_8500ms,245,7605,16.200000,1.955000,97.209093,879.527659,7
ep_5p0uj_ejecta_8500ms,246,7606,16.800000,1.955000,81.618356,712.092125,7
ep_5p0uj_ejecta_8500ms,247,7607,17.400000,1.955000,67.917151,572.120929,7
ep_5p0uj_ejecta_8500ms,248,7608,18.000000,1.955000,56.016935,456.146616,7
ep_5p0uj_ejecta_8500ms,249,7609,0.000000,2.205000,0.000000,15300.000000,8
ep_5p0uj_ejecta_8500ms,250,7610,0.600000,2.205000,58.924236,15241.366834,8
ep_5p0uj_ejecta_8500ms,251,7611,1.200000,2.205000,116.498789,15066.812070,8
ep_5p0uj_ejecta_8500ms,252,7612,1.800000,2.205000,171.425370,14780.318642,8
