case,step,time_ps,depth_mid_nm,atom_count,mean_atom_temperature_K,mean_stress_proxy_eV
fluence_0p5_100ps,90000,8.9999,7.20291,214,1490.8011,-176498.54
fluence_0p5_100ps,90000,8.9999,6.940986,221,1556.3245,158644.33
fluence_0p5_100ps,90000,8.9999,6.679062,229,1534.357,38680.134
fluence_0p5_100ps,90000,8.9999,6.417138,248,1487.9338,78971.966
fluence_0p5_100ps,90000,8.9999,6.155214,255,1564.6662,2355.3703
fluence_0p5_100ps,90000,8.9999,5.89329,256,1583.4833,71255.377
fluence_0p5_100ps,90000,8.9999,5.631366,256,1465.2867,149496.15
fluence_0p5_100ps,90000,8.9999,5.369442,256,1487.5753,159908.57
fluence_0p5_100ps,90000,8.9999,5.107518,256,1487.8126,139348.59
fluence_0p5_100ps,90000,8.9999,4.845594,251,1489.416,-11224.396
fluence_0p5_100ps,90000,8.9999,4.58367,228,1442.1128,-80681.532
fluence_0p5_100ps,90000,8.9999,4.321746,232,1380.2819,153398.26
fluence_0p5_100ps,90000,8.9999,4.059822,220,1506.3732,178432.76
fluence_0p5_100ps,90000,8.9999,3.797898,234,1484.2434,143746.95
fluence_0p5_100ps,90000,8.9999,3.535974,247,1349.9142,91537.061
fluence_0p5_100ps,90000,8.9999,3.27405,253,1589.3747,215920.31
fluence_0p5_100ps,90000,8.9999,3.012126,256,1480.9689,45786.57
fluence_0p5_100ps,90000,8.9999,2.750202,255,1504.1241,-17719.54
fluence_0p5_100ps,90000,8.9999,2.488278,256,1381.2293,143790.7
fluence_0p5_100ps,90000,8.9999,2.226354,256,1396.8985,100913.31
fluence_0p5_100ps,90000,8.9999,1.96443,252,1443.3824,187803.04
fluence_0p5_100ps,90000,8.9999,1.702506,242,1476.1263,-72955.097
fluence_0p5_100ps,90000,8.9999,1.440582,231,1639.3339,188383.52
fluence_0p5_100ps,90000,8.9999,1.178658,218,1651.2818,-20814.545
fluence_0p5_100ps,90000,8.9999,0.916734,224,1465.8655,-86652.132
fluence_0p5_100ps,90000,8.9999,0.65481,244,1504.6367,35338.529
fluence_0p5_100ps,90000,8.9999,0.392886,255,1662.668,251103.33
fluence_0p5_100ps,90000,8.9999,0.130962,257,1431.7803,74006.119
fluence_0p5_100ps,100000,9.9999,12.965238,256,,-422.535
fluence_0p5_100ps,100000,9.9999,12.703314,256,,-541.00986
fluence_0p5_100ps,100000,9.9999,12.44139,257,828.43881,-19621.328
fluence_0p5_100ps,100000,9.9999,12.179466,255,1529.7128,12392.683
fluence_0p5_100ps,100000,9.9999,11.917542,256,1646.1093,-77912.143
fluence_0p5_100ps,100000,9.9999,11.655618,256,1571.8613,131236.56
fluence_0p5_100ps,100000,9.9999,11.393694,256,1697.4831,173962.19
fluence_0p5_100ps,100000,9.9999,11.13177,253,1610.568,16205.425
fluence_0p5_100ps,100000,9.9999,10.869846,247,1615.9498,65739.719
fluence_0p5_100ps,100000,9.9999,10.607922,252,1654.4646,343558.06
fluence_0p5_100ps,100000,9.9999,10.345998,228,1713.0331,43576.132
fluence_0p5_100ps,100000,9.9999,10.084074,218,1718.1905,-84529.873
fluence_0p5_100ps,100000,9.9999,9.82215,228,1711.3759,-90659.379
fluence_0p5_100ps,100000,9.9999,9.560226,241,1665.1974,40013.096
fluence_0p5_100ps,100000,9.9999,9.298302,253,1745.4786,132573.09
fluence_0p5_100ps,100000,9.9999,9.036378,256,1469.8349,93443.092
fluence_0p5_100ps,100000,9.9999,8.774454,256,1864.5514,105948.32
