case,step,time_ps,raw_lift_outlier_sensitive_nm,robust_p95_lift_nm,center_crater_depth_nm,rim_lift_nm,center_surface_z_p95_nm,edge_surface_z_p95_nm,bin_density_mean_check_initial,low_density_area_fraction,void_area_fraction,neighbor_density_surface_mean,atom_T_raw_mean_K,atom_T_raw_p95_K,atom_T_thermal_mean_K,atom_T_thermal_p95_K,ejecta_T_thermal_mean_K,Te_min_K,Te_mean_K,Te_p95_K,Te_max_K,thermo_Tl_K,upward_atoms,vapor_candidate_count,detached_candidate_count,stable_ejecta_count,cluster_ejecta_count,largest_ejecta_cluster_size,ejected_mass_fraction,bulk_component_size,detached_atom_count,pressure_GPa_p01,pressure_GPa_p99,von_mises_stress_GPa_p99,thermo_pe_eV,thermo_ke_eV,thermo_total_eV
fluence_0p5_100ps,540000,51.9999,0.7071,0.3510025,0,0.295325,-0.2083675,-0.3081875,,0.22686567,0.0037313433,1.5098412,3340.4202,8897.9577,2828.2135,8205.4375,,4139.0517,4152.418,4155.5378,4164.2828,3815.6111,664,2475,0,0,0,0,0,12414,0,-12.300444,13.19618,22.298534,-42148.716,6123.1581,-36025.558
fluence_0p5_100ps,550000,52.9999,0.9076,0.31792,0,0.288485,-0.200895,-0.26845,,0.2358209,0.002238806,1.5087423,3421.6365,9828.9185,2910.5181,8263.5784,,4147.6171,4156.0115,4160.7852,4177.4889,3796.3082,666,2376,0,0,0,0,0,12416,0,-11.603086,13.485455,22.389473,-42084.33,6092.1813,-35992.148
fluence_0p5_100ps,560000,53.9999,0.9402,0.366545,0,0.2897025,-0.203365,-0.327905,,0.24179104,0.0067164179,1.5011814,3365.2594,9228.114,2820.5964,7930.9806,,4143.8344,4157.4997,4160.5882,4172.9803,3816.4632,644,2397,0,0,0,0,0,12416,0,-11.37998,14.06009,22.995432,-42110.213,6124.5254,-35985.687
fluence_0p5_100ps,570000,54.9999,0.9135,0.3322025,0,0.3373125,-0.273945,-0.3083275,,0.24029851,0.0052238806,1.5083347,3393.4644,9038.8095,2872.068,8074.7912,,4147.5701,4160.3455,4162.7714,4172.2501,3868.7201,652,2455,0,0,0,1,0,12413,2,-12.214553,13.358497,22.196279,-42169.462,6208.3855,-35961.077
fluence_0p5_100ps,580000,55.9999,0.7724,0.2725275,0.0571875,0.329205,-0.2987125,-0.241525,,0.24402985,0.0044776119,1.5244831,3370.7287,8862.3705,2834.7659,7626.3472,,4145.0273,4161.5274,4163.0597,4177.2079,3857.756,642,2496,0,0,0,1,0,12415,1,-13.467938,12.842611,23.129129,-42148.449,6190.7906,-35957.658
fluence_0p5_100ps,590000,56.9999,1.2744,0.2839725,0,0.2700775,-0.2428775,-0.32974,,0.2358209,0.0052238806,1.501494,3457.6623,9502.379,2870.8242,7852.8315,,4151.9161,4163.2447,4166.6405,4180.9495,3874.1002,630,2499,1,0,0,1,0,12414,1,-11.737369,12.732228,21.541169,-42164.807,6217.0193,-35947.788
fluence_0p5_100ps,600000,57.9999,1.8447,0.3014925,0,0.305805,-0.2212125,-0.2363575,,0.24328358,0.0052238806,1.4924663,3346.0017,8892.1013,2806.5272,7800.8013,,4155.1187,4164.1374,4167.8247,4183.9879,3862.8175,697,2401,1,0,0,1,0,12413,1,-12.813574,13.847788,22.407846,-42147.211,6198.9132,-35948.298
fluence_0p5_100ps,610000,58.9999,2.415,0.3022225,0,0.21888,-0.24524,-0.2696,,0.23208955,0.0052238806,1.5192036,3400.0057,9814.0067,2899.9504,7873.6266,0,4150.9882,4165.944,4169.0272,4180.2702,3849.8855,688,2421,1,1,0,1,8.0541237e-05,12413,2,-13.398451,14.506541,21.662285,-42115.256,6178.1603,-35937.096
fluence_0p5_100ps,620000,59.9999,2.9854,0.322895,0,0.3003,-0.20674,-0.3623075,,0.24104478,0.0059701493,1.5206948,3376.3741,9072.1028,2843.7371,7982.1036,0,4159.0799,4170.8461,4174.3686,4187.5246,3858.2733,677,2475,1,1,0,1,8.0541237e-05,12414,1,-11.965862,13.939207,22.394449,-42078.62,6191.6209,-35886.999
fluence_0p5_100ps,630000,60.9999,2.5903,0.36817,0,0.3577975,-0.1377825,-0.2647725,,0.24701493,0.0067164179,1.5009196,3336.3646,8860.332,2851.3591,7930.8012,,4161.9643,4178.6618,4180.9381,4191.4787,3891.2458,683,2561,0,0,0,1,0,12412,1,-12.179672,13.722654,22.623263,-42043.591,6244.5338,-35799.057
fluence_0p5_100ps,640000,61.9999,1.5812,0.4089775,0,0.26793,-0.198,-0.239715,,0.25298507,0.0044776119,1.5091403,3431.0886,9172.2111,2940.9161,8487.7898,,4169.768,4183.9493,4187.9149,4203.124,3856.4957,691,2459,0,0,0,1,0,12415,1,-13.243712,13.619517,21.683491,-41932.675,6188.7682,-35743.907
fluence_0p5_100ps,650000,62.9999,0.8584,0.368585,0.0057,0.33549,-0.21041,-0.20471,,0.23134328,0.0052238806,1.510345,3451.3999,9067.7086,2872.7527,7827.3535,,4170.4857,4183.5278,4186.0469,4202.6416,3914.8816,656,2548,0,0,0,1,0,12412,1,-12.721427,13.441153,23.199025,-42042.975,6282.4638,-35760.511
